file_name,window_label,start_minute,end_minute,n_grids,mean_score,median_score,std_score,count_0,count_1,count_2,count_3,ratio_0,ratio_1,ratio_2,ratio_3
engagement_0m_3m.json,0m-3m,0,3,25,2.08,2,0.744043009509531,0,6,11,8,0.0,0.24,0.44,0.32
engagement_3m_6m.json,3m-6m,3,6,25,2.44,3,0.6974238309665077,0,3,8,14,0.0,0.12,0.32,0.56
engagement_6m_9m.json,6m-9m,6,9,24,2.2916666666666665,2.0,0.6109532624422992,0,2,13,9,0.0,0.08333333333333333,0.5416666666666666,0.375
engagement_9m_12m.json,9m-12m,9,12,24,2.375,2.0,0.5636562191028618,0,1,13,10,0.0,0.041666666666666664,0.5416666666666666,0.4166666666666667
engagement_12m_15m.json,12m-15m,12,15,24,2.4166666666666665,3.0,0.7592027982620249,0,4,6,14,0.0,0.16666666666666666,0.25,0.5833333333333334
engagement_15m_18m.json,15m-18m,15,18,25,2.36,3,0.7939773296511683,0,5,6,14,0.0,0.2,0.24,0.56
engagement_18m_21m.json,18m-21m,18,21,24,2.4583333333333335,3.0,0.6441510347391795,0,2,9,13,0.0,0.08333333333333333,0.375,0.5416666666666666
engagement_21m_24m.json,21m-24m,21,24,24,2.375,2.5,0.6959705453537527,0,3,9,12,0.0,0.125,0.375,0.5
engagement_24m_27m.json,24m-27m,24,27,23,2.130434782608696,2,0.6791521457310135,1,1,15,6,0.043478260869565216,0.043478260869565216,0.6521739130434783,0.2608695652173913
engagement_27m_30m.json,27m-30m,27,30,24,2,2.0,0.9574271077563381,2,5,8,9,0.08333333333333333,0.20833333333333334,0.3333333333333333,0.375
engagement_30m_33m.json,30m-33m,30,33,24,2.0416666666666665,2.0,0.789470638395684,1,4,12,7,0.041666666666666664,0.16666666666666666,0.5,0.2916666666666667
engagement_33m_36m.json,33m-36m,33,36,23,2.347826086956522,3,0.8134037797334656,1,2,8,12,0.043478260869565216,0.08695652173913043,0.34782608695652173,0.5217391304347826
engagement_36m_39m.json,36m-39m,36,39,24,2.25,2.5,0.8779711460710615,1,4,7,12,0.041666666666666664,0.16666666666666666,0.2916666666666667,0.5
engagement_39m_42m.json,39m-42m,39,42,25,2.48,3,0.6997142273814361,1,0,10,14,0.04,0.0,0.4,0.56
engagement_42m_45m.json,42m-45m,42,45,25,2.24,2,0.7631513611335565,0,5,9,11,0.0,0.2,0.36,0.44
engagement_45m_48m.json,45m-48m,45,48,25,2.16,2,0.88,2,2,11,10,0.08,0.08,0.44,0.4
engagement_48m_51m.json,48m-51m,48,51,25,2,2,0.8944271909999159,1,7,8,9,0.04,0.28,0.32,0.36
engagement_51m_54m.json,51m-54m,51,54,25,2.28,2,0.8726969691708572,2,1,10,12,0.08,0.04,0.4,0.48
engagement_54m_57m.json,54m-57m,54,57,23,2.5217391304347827,3,0.6507230237867724,0,2,7,14,0.0,0.08695652173913043,0.30434782608695654,0.6086956521739131
engagement_57m_60m.json,57m-60m,57,60,23,2.260869565217391,2,0.7352841097951202,0,4,9,10,0.0,0.17391304347826086,0.391304347826087,0.43478260869565216
